trading_day,index_name,symbol,open_0931,close_0935,close_0950,close_1005,close_1035,close_1500
2023-05-11,CSI300,000300.SH,4005.7800000000002,4003.1799999999998,4004.8099999999999,4011.75,4008.4699999999998,3990.6599999999999
2023-05-12,CSI1000,000852.SH,6608.8299999999999,6623.6499999999996,6621.1000000000004,6604.5600000000004,6569.1400000000003,6535.9399999999996
2023-05-12,CSI300,000300.SH,3987.77,3987.5500000000002,3994.2800000000002,3991.0300000000002,3960.6900000000001,3937.7600000000002
2023-05-15,CSI1000,000852.SH,6537.3999999999996,6540.0699999999997,6527.3800000000001,6527.7799999999997,6510.4700000000003,6585.9099999999999
2023-05-15,CSI300,000300.SH,3938.8299999999999,3928.9099999999999,3930.3000000000002,3935.5500000000002,3932.5300000000002,3998.8899999999999
2023-05-16,CSI1000,000852.SH,6586.7200000000003,6557.1300000000001,6553.21,6542.9899999999998,6548.6700000000001,6516.29
2023-05-16,CSI300,000300.SH,4002.52,3996.46,4002.7600000000002,3986.4099999999999,3998.6799999999998,3978.21
2023-05-17,CSI1000,000852.SH,6500.4399999999996,6510.5,6516.6499999999996,6527.6199999999999,6539.5900000000001,6554.9799999999996
2023-05-17,CSI300,000300.SH,3971.6999999999998,3959.7399999999998,3961.3000000000002,3970.1500000000001,3966.6100000000001,3960.1700000000001
2023-05-18,CSI1000,000852.SH,6557.3699999999999,6566.5200000000004,6571.1899999999996,6567.8999999999996,6587.4099999999999,6583.7399999999998
2023-05-18,CSI300,000300.SH,3965.52,3970.3499999999999,3966.79,3978.29,3970.1900000000001,3956.0700000000002
2023-05-19,CSI1000,000852.SH,6571.0900000000001,6554.2700000000004,6562.46,6556.6700000000001,6575.5,6602.3199999999997
2023-05-19,CSI300,000300.SH,3946.2199999999998,3935.9400000000001,3935.6399999999999,3930.1300000000001,3940.3800000000001,3944.54
2023-05-22,CSI1000,000852.SH,6589.3500000000004,6600.5900000000001,6585.8299999999999,6578.4399999999996,6600.8999999999996,6595.9799999999996
2023-05-22,CSI300,000300.SH,3941,3947.4699999999998,3952.9699999999998,3964.2800000000002,3980.04,3969.3299999999999
2023-05-23,CSI1000,000852.SH,6591.5600000000004,6567.2399999999998,6579.2299999999996,6580.3699999999999,6564.3699999999999,6528.4499999999998
2023-05-23,CSI300,000300.SH,3968.23,3963.1100000000001,3962.8400000000001,3957.75,3936.6199999999999,3913.1900000000001
2023-05-24,CSI1000,000852.SH,6507.0600000000004,6492.1400000000003,6493.1899999999996,6488.4799999999996,6510.6999999999998,6513.1800000000003
2023-05-24,CSI300,000300.SH,3903.7800000000002,3884.4400000000001,3886.1500000000001,3880.1599999999999,3882.2600000000002,3859.0900000000001
2023-05-25,CSI1000,000852.SH,6502.2299999999996,6535.3999999999996,6535.5500000000002,6523.6999999999998,6500.1999999999998,6501
2023-05-25,CSI300,000300.SH,3851.4099999999999,3855.1399999999999,3861.2800000000002,3856.96,3853.1999999999998,3850.5
2023-05-26,CSI1000,000852.SH,6495.3500000000004,6475.8900000000003,6459.2200000000003,6470.9099999999999,6478.1599999999999,6546.4099999999999
2023-05-26,CSI300,000300.SH,3848.4200000000001,3839.04,3834.6100000000001,3832.9499999999998,3825.75,3850.9499999999998
2023-05-29,CSI1000,000852.SH,6560.1599999999999,6568.2799999999997,6561.1400000000003,6574.0900000000001,6562.6800000000003,6534.1199999999999
2023-05-29,CSI300,000300.SH,3862.0799999999999,3858.5599999999999,3846.3499999999999,3852.8400000000001,3834.0300000000002,3833.9400000000001
2023-05-30,CSI1000,000852.SH,6517.71,6489.25,6520.0699999999997,6518.4499999999998,6503.0200000000004,6564.4700000000003
2023-05-30,CSI300,000300.SH,3827.79,3823.4400000000001,3836.3600000000001,3841.4899999999998,3815.1199999999999,3837.75
2023-05-31,CSI1000,000852.SH,6556.5200000000004,6551.4300000000003,6569.25,6572.4399999999996,6552.3000000000002,6561.6499999999996
2023-05-31,CSI300,000300.SH,3827.1599999999999,3818.48,3812.29,3810.3099999999999,3800.3000000000002,3798.54
2023-06-01,CSI1000,000852.SH,6539.2600000000002,6526.3999999999996,6557.1899999999996,6581.0900000000001,6579.4899999999998,6574.7600000000002
2023-06-01,CSI300,000300.SH,3788.5900000000001,3795.9099999999999,3815.75,3823.1500000000001,3818.96,3806.8699999999999
2023-06-02,CSI1000,000852.SH,6585.7299999999996,6596.6499999999996,6603.04,6615.0200000000004,6619.8100000000004,6626.2799999999997
2023-06-02,CSI300,000300.SH,3821.6199999999999,3831.4200000000001,3832.0599999999999,3833.1100000000001,3843.0100000000002,3861.8299999999999
2023-06-05,CSI1000,000852.SH,6631.2200000000003,6620.46,6635.8999999999996,6634.4099999999999,6641.0699999999997,6632.96
2023-06-05,CSI300,000300.SH,3860.5599999999999,3838.8099999999999,3851.0300000000002,3852.5799999999999,3854.7800000000002,3844.25
2023-06-06,CSI1000,000852.SH,6625.0900000000001,6595.6899999999996,6601.29,6582.1999999999998,6575.25,6489.8100000000004
2023-06-06,CSI300,000300.SH,3840.46,3836.1199999999999,3826.8200000000002,3832.5700000000002,3856.8899999999999,3808.1599999999999
2023-06-07,CSI1000,000852.SH,6487.1999999999998,6474.2200000000003,6489.75,6494.8999999999996,6497.8100000000004,6488.5600000000004
2023-06-07,CSI300,000300.SH,3815.48,3816.7800000000002,3810.0300000000002,3800.5599999999999,3809.8200000000002,3789.3400000000001
2023-06-08,CSI1000,000852.SH,6477.9399999999996,6463.1999999999998,6446.21,6449.9499999999998,6430.1800000000003,6442.4799999999996
2023-06-08,CSI300,000300.SH,3791.0799999999999,3791.52,3781.4899999999998,3792.6999999999998,3793.5599999999999,3820.1900000000001
2023-06-09,CSI1000,000852.SH,6446.6199999999999,6441.0600000000004,6462.7799999999997,6464.9200000000001,6437.9200000000001,6495.5600000000004
2023-06-09,CSI300,000300.SH,3822.4099999999999,3822.71,3824.6100000000001,3816.0100000000002,3813.1700000000001,3836.6999999999998
2023-06-12,CSI1000,000852.SH,6488.1999999999998,6475.7700000000004,6489.9399999999996,6505.29,6517.75,6530.1599999999999
