trading_day,holiday_reopen,a50_ordinary_preauction_closure_return,a50_ordinary_signed_square,marginal_slope
2015-05-11,0,0.0029834048107400001,8.9007042647465752e-06,0.33516794624016555
2015-05-12,0,-0.00091575091575099999,-8.385997396987951e-07,0.28562261798251537
2015-05-13,0,0,0,0.26367930346886054
2015-05-14,0,0.0029973772948699998,8.9842706478021983e-06,0.33550275629443693
2015-05-15,0,0.0056380379627899999,3.1787472069861214e-05,0.39877852982995804
2015-05-18,0,-0.00076016723679200003,-5.7785422789198465e-07,0.28189450639467267
2015-05-19,0,0.0034999027804800001,1.2249319472811636e-05,0.34754432195623497
2015-05-20,0,0.0085454207690899998,7.302421612079472e-05,0.46844552577056636
2015-05-21,0,0.0065031586770700001,4.2291072779150835e-05,0.41950863842084646
2015-05-22,0,0.0058586598315600001,3.4323895021934648e-05,0.40406509299002891
2015-05-25,0,-0.0014191946070600001,-2.0141133327081881e-06,0.29768618578058736
2015-05-26,0,0,0,0.26367930346886054
2015-05-27,0,0.0068516615279199996,4.6945265693179025e-05,0.4278594983911424
2015-05-28,0,0.0013874436351000001,1.9249998405795023e-06,0.29692536583288237
2015-06-01,0,-0.0030109145652999999,-9.0656065195356879e-06,0.33582713771474731
2015-06-02,0,-0.0017889087656500001,-3.2001945718194067e-06,0.30654531321639067
2015-06-03,0,-0.0041314891323900003,-1.7069202451056677e-05,0.36267845693127593
2015-06-04,0,-0.0019844849359599999,-3.9381804610521654e-06,0.31123172885919559
2015-06-05,0,0.00070758889085400004,5.0068203845999394e-07,0.28063461884044721
2015-06-08,0,-0.00462798148807,-2.1418212653918611e-05,0.37457545613370313
2015-06-09,0,-0.00050624367195400001,-2.5628265539346916e-07,0.27580996468160307
2015-06-10,0,-0.0098394614189500004,-9.6815001015005558e-05,0.49945345651344236
2015-06-11,0,0.0045398987253400004,2.0610680436343762e-05,0.3724648082134322
