trading_day,holiday_reopen,a50_channel_mode,a50_channel_return,a50_target_end_time,hkma_usdcny_closure_return
2016-05-05,0,ordinary,-0.0036344755970900001,91459,0
2016-05-06,0,ordinary,-0.00104085349987,91438,0
2016-05-09,0,ordinary,0.0032000000000000002,91456,-2.8862781129568305e-06
2016-05-10,0,ordinary,-0.0054010261949799998,91458,0
2016-05-11,0,ordinary,0.0059363194819200002,91459,0
2016-05-12,0,ordinary,-0.0013462574044200001,91458,0
2016-05-13,0,ordinary,0.00080666845926299999,91432,0
2016-05-16,0,ordinary,-0.0059108006448099996,91449,0
2016-05-17,0,ordinary,0.0016103059581300001,91441,0
2016-05-18,0,ordinary,-0.0051020408163299997,91459,0
2016-05-19,0,ordinary,-0.00107991360691,91458,0
2016-05-20,0,ordinary,-0.000269034167339,91457,0
2016-05-23,0,ordinary,0.0029459025174100001,91459,0.0011894059308426019
2016-05-24,0,ordinary,0.0013390465988200001,91444,0
2016-05-25,0,ordinary,0.0094238018309099995,91455,0
2016-05-26,0,ordinary,0.0037593984962400002,91442,0
2016-05-27,0,ordinary,0.0045539780337500004,91456,0
2016-05-30,0,ordinary,0.0040096230954300002,91326,0.0011851350207399136
2016-05-31,0,ordinary,,,0
2016-06-01,0,ordinary,0.0039693040486899998,91459,0
2016-06-02,0,ordinary,0.0021316280309099998,91448,0
2016-06-03,0,ordinary,0.0058760683760699997,91446,0
2016-06-06,0,ordinary,0.00265957446809,91438,-0.0069562686780036964
2016-06-07,0,ordinary,0.0045454545454500003,91456,0
2016-06-08,0,ordinary,0.0024012806830300002,91457,0
2016-06-13,1,holiday,-0.017393631255017361,92459,0.0049780039089999395
2016-06-14,0,ordinary,0.0013770311209,91458,0
2016-06-15,0,ordinary,-0.0153089119738,91456,0
2016-06-16,0,ordinary,-0.0046359421870699998,91457,0
2016-06-17,0,ordinary,0.0049247606019200002,91446,0
2016-06-20,0,ordinary,0.0081632653061200003,91457,-8.6371791076733651e-05
2016-06-21,0,ordinary,0,91459,0
2016-06-22,0,ordinary,-0.00108489286683,91435,0
2016-06-23,0,ordinary,0.00324499729584,91449,0
2016-06-24,0,ordinary,-0.0054259359739600001,91459,0
2016-06-27,0,ordinary,0.0030236393622899999,91451,-0.00068491195673570093
2016-06-28,0,ordinary,-0.0035316490084199999,91457,0
2016-06-29,0,ordinary,0.0029753854476599999,91457,0
2016-06-30,0,ordinary,,,0
2016-07-01,0,ordinary,0.0046107946840299998,91438,0
2016-07-04,0,ordinary,0.00081015392924699997,91458,-0.000602253588076751
2016-07-05,0,ordinary,0.00133333333333,91458,0
2016-07-06,0,ordinary,-0.00320256204964,91458,0
2016-07-07,0,ordinary,0.0013354700854700001,91459,0
2016-07-08,0,ordinary,0.00106780565937,91446,0
2016-07-11,0,ordinary,0.0066880684858199998,91457,0.0010376769215927339
2016-07-12,0,ordinary,0.0026666666666699998,91455,0
2016-07-13,0,ordinary,0.00026089225150000001,91459,0
2016-07-14,0,ordinary,0.0023504831548700001,91458,0
2016-07-15,0,ordinary,0.00182958703607,91447,0
2016-07-18,0,ordinary,-0.00208170699974,91455,0.0027271277712719311
2016-07-19,0,ordinary,0,91456,0
2016-07-20,0,ordinary,-0.00183871815077,91448,0
2016-07-21,0,ordinary,0.00157977883096,91434,0
2016-07-22,0,ordinary,-0.0010482180293499999,91459,0
2016-07-25,0,ordinary,0.0021164021164000002,91449,0.00081791967436828372
2016-07-26,0,ordinary,-0.0018513620735300001,91455,0
2016-07-27,0,ordinary,0,91458,0
2016-07-28,0,ordinary,-0.0031612223393,91452,0
2016-07-29,0,ordinary,,,0
2016-08-01,0,ordinary,0.00026406126221300002,91443,-0.0041878633801016862
2016-08-02,0,ordinary,0.0010612894667,91456,0
2016-08-03,0,ordinary,-0.0034528552456800001,91459,0
2016-08-04,0,ordinary,0.00053149083178300003,91451,0
2016-08-05,0,ordinary,0.00079744816586900004,91454,0
2016-08-08,0,ordinary,0.0029177718832900002,91445,0.00245060335857894
2016-08-09,0,ordinary,0.0013203063110600001,91457,0
2016-08-10,0,ordinary,0.0034093889326,91459,0
2016-08-11,0,ordinary,0.0015731515469300001,91456,0
2016-08-12,0,ordinary,0.00078145350351600004,91438,0
2016-08-15,0,ordinary,-0.0025568908207599999,91459,-4.2581402557639869e-05
2016-08-16,0,ordinary,0.0089596814335500003,91458,0
2016-08-17,0,ordinary,0.0060468631897199997,91457,0
2016-08-18,0,ordinary,-0.000504286434695,91459,0
2016-08-19,0,ordinary,0.0012683916793500001,91458,0
2016-08-22,0,ordinary,-0.0012661433274199999,91456,0.00059993775311650843
2016-08-23,0,ordinary,0.00050838840874400004,91448,0
2016-08-24,0,ordinary,0.00101394169835,91439,0
2016-08-25,0,ordinary,0,91455,0
2016-08-26,0,ordinary,-0.00076745970836499997,91454,0
2016-08-29,0,ordinary,-0.0017934921855,91454,0.0019835623325550333
2016-08-30,0,ordinary,0.00257135510414,91444,0
2016-08-31,0,ordinary,,,0
2016-09-01,0,ordinary,0.0012712941774699999,91455,0
2016-09-02,0,ordinary,0.00025575447570300001,91446,0
2016-09-05,0,ordinary,0.0043279022403299996,91457,0.0013396476796743162
2016-09-06,0,ordinary,0.0017748478701800001,91450,0
2016-09-07,0,ordinary,0.0020278833967,91457,0
2016-09-08,0,ordinary,0,91458,0
2016-09-09,0,ordinary,0.00101419878296,91442,0
2016-09-12,0,ordinary,-0.0137369626049,91455,0.00047543501770275221
2016-09-13,0,ordinary,0.0018130018130000001,91455,0
2016-09-14,0,ordinary,-0.0059539218224200002,91458,0
2016-09-19,1,holiday,0.0062843676355066602,92453,-0.0020587217594634222
2016-09-20,0,ordinary,0.0018162947586899999,91454,0
2016-09-21,0,ordinary,0.000519480519481,91457,0
2016-09-22,0,ordinary,0.0046862796146800003,91447,0
2016-09-23,0,ordinary,0.0012906556530699999,91450,0
2016-09-26,0,ordinary,-0.0028490028489999999,91450,8.6106686184139747e-05
2016-09-27,0,ordinary,-0.0031504331845599999,91455,0
2016-09-28,0,ordinary,-0.00130548302872,91459,0
2016-09-29,0,ordinary,0.0020936927505900002,91458,0
2016-09-30,0,ordinary,,,0
2016-10-10,1,holiday,0.0083289953149401352,92440,0.0038039918460484046
2016-10-11,0,ordinary,-0.00076923076923099995,91451,0
2016-10-12,0,ordinary,-0.0020570840833100002,91458,0
2016-10-13,0,ordinary,-0.0010325245224599999,91442,0
2016-10-14,0,ordinary,-0.00025853154084800001,91443,0
2016-10-17,0,ordinary,-0.0017990233873000001,91454,0.00013021963712134266
2016-10-18,0,ordinary,-0.00025967281225700001,91440,0
2016-10-19,0,ordinary,0.0017916560020499999,91455,0
2016-10-20,0,ordinary,0.00179579271421,91449,0
2016-10-21,0,ordinary,0,91447,0
2016-10-24,0,ordinary,0.00101910828025,91458,0.0049425267236502535
2016-10-25,0,ordinary,0.000250815149235,91441,0
2016-10-26,0,ordinary,0.00125976316453,91443,0
2016-10-27,0,ordinary,0.0010136847440399999,91452,0
2016-10-28,0,ordinary,-0.0010160020320000001,91449,0
2016-10-31,0,ordinary,,,-0.00043529551570575808
2016-11-01,0,ordinary,-0.00101291466194,91415,0
2016-11-02,0,ordinary,-0.0052830188679200002,91417,0
2016-11-03,0,ordinary,0.00076142131979700005,91455,0
2016-11-04,0,ordinary,-0.0017605633802799999,91436,0
2016-11-07,0,ordinary,0.0012594458438299999,91457,0.00061553445854944933
2016-11-08,0,ordinary,0.00226358148893,91443,0
2016-11-09,0,ordinary,0.0025050100200399998,91451,0
2016-11-10,0,ordinary,0.0083375442142500002,91458,0
2016-11-11,0,ordinary,-0.0034947578632099998,91450,0
2016-11-14,0,ordinary,-0.0014884644008899999,91455,-0.00097057850376236487
2016-11-15,0,ordinary,0.0017348203221800001,91456,0
2016-11-16,0,ordinary,0.0014866204162500001,91459,0
2016-11-17,0,ordinary,-0.0019870839542999999,91453,0
2016-11-18,0,ordinary,0.0017378351539200001,91436,0
2016-11-21,0,ordinary,-0.00099329525701499994,91451,-0.0011030770519866451
2016-11-22,0,ordinary,0.00098231827111999997,91457,0
2016-11-23,0,ordinary,0.0014605647516999999,91459,0
2016-11-24,0,ordinary,0,91453,0
2016-11-25,0,ordinary,0.00145032632342,91440,0
2016-11-28,0,ordinary,0.00023832221163,91453,0.0014331138877692329
2016-11-29,0,ordinary,-0.00047494656851100001,91457,0
2016-11-30,0,ordinary,,,0
2016-12-01,0,ordinary,0.0028355387523600001,91452,0
2016-12-02,0,ordinary,-0.0023546032493500001,91432,0
2016-12-05,0,ordinary,-0.0130177514793,91458,-0.0024797413983971284
2016-12-06,0,ordinary,0.0055408335340899999,91454,0
2016-12-07,0,ordinary,0.0016875602700100001,91456,0
2016-12-08,0,ordinary,0.0055381651817999998,91458,0
2016-12-09,0,ordinary,0,91457,0
2016-12-12,0,ordinary,-0.0014177693761800001,91458,0.0012501116171086402
2016-12-13,0,ordinary,-0.0043000477783100002,91458,0
2016-12-14,0,ordinary,0.0012039489525600001,91455,0
2016-12-15,0,ordinary,-0.0062801932367200003,91457,0
2016-12-16,0,ordinary,0,91459,0
2016-12-19,0,ordinary,0.0012388503468800001,91458,0.0056099093438648495
2016-12-20,0,ordinary,-0.00074757039621199998,91427,0
2016-12-21,0,ordinary,0,91458,0
2016-12-22,0,ordinary,-0.0024919013207100001,91414,0
2016-12-23,0,ordinary,-0.00075206818751599996,91452,0
2016-12-26,0,ordinary,-0.0042885973763899998,91458,-0.00025766555011585979
2016-12-27,0,ordinary,0.00025062656641599998,91458,0
2016-12-28,0,ordinary,0.0020080321285099998,91448,0
2016-12-29,0,ordinary,-0.00100933636134,91459,0
2016-12-30,0,ordinary,,,0
