trading_day,gap,r1,r20,rvol20,prev_daytime,prev_last_hour,prev_afternoon,holiday_reopen,weekend,prev_gap,overnight_trend_5,abs_r1,us_nasdaq,us_vix_chg
2019-07-26,-0.0018287920569400873,0.0031300350540826027,-0.034548880329481557,0.014363530772536673,0.0033579467234026161,0.00063750895296821319,-0.0005389439766776416,0,0,-0.00022714891536401716,0.00086131473093506992,0.0031300350540826027,-0.0099693564862103345,0.055509527754763921
2019-07-29,0.00025495533489250377,0.0010573603603085679,-0.019699592026955148,0.014069046137852962,0.002891440260229583,0.00154745859684291,0.004769022157847802,0,1,-0.0018287920569400873,6.7034392930986897e-05,0.0010573603603085679,0.0111269715265081,-0.045525902668759777
2019-07-30,-0.00036597189489129267,0.00045623586243892511,-0.04787636757695557,0.012052773594453314,0.00020122922308263291,0.0026126814949147814,0.00034501397306585524,0,0,0.00025495533489250377,4.0248129127817832e-05,0.00045623586243892511,-0.0044272593367993274,0.055098684210526327
2019-07-31,-0.0020191918652141538,0.0039739565968830437,-0.044460492530345452,0.01212262449648191,0.004341517365111125,-0.00078949476149237086,-0.0035486214385418435,0,0,-0.00036597189489129267,-1.0870019839792633e-05,0.0039739565968830437,-0.0023778144605363094,0.086515978176149533
2019-08-01,-0.0053864452346017444,-0.0075633812493797192,-0.042077844565083233,0.012051050889116162,-0.0055554068164173076,-0.0024975494474506199,-0.0013097979415813699,0,0,-0.0020191918652141538,-0.00083722987950340944,0.0075633812493797192,-0.011867854539916789,0.1563845050215209
2019-08-02,-0.019181439835460501,-0.0051652952160444743,-0.042770863632831224,0.0120595721288199,0.00022234768217033185,0.0037077134408975976,-0.00035748239640742696,0,0,-0.0053864452346017444,-0.0018690891433509548,0.0051652952160444743,-0.0078650393496603188,0.1085607940446649
2019-08-05,-0.0029365200960115301,-0.015883693553157108,-0.061426003594966971,0.012354848558655913,0.0033622388648009149,0.004470838923526399,0.0056613463969659161,0,1,-0.019181439835460501,-0.0053396186990550378,0.015883693553157108,-0.013197930741993713,-0.014549524342473474
2019-08-06,-0.018234962166974067,-0.011475016990567743,-0.040354520266881799,0.010365848410060845,-0.0085636442078677044,-0.0063281266967967209,-0.0094885698259149498,0,0,-0.0029365200960115301,-0.0059779137852358447,0.011475016990567743,-0.034736078020307093,0.39636570130607618
2019-08-07,0.0057798041560712665,-0.026391714885229289,-0.06853549390343594,0.011623789989665239,-0.0083082534047648204,-0.0023577798591033483,0.0097579171020119038,0,0,-0.018234962166974067,-0.0095517118396523989,0.026391714885229289,0.013879037644123127,-0.17974786498576645
2019-08-08,0.0033528198074277427,-0.0029348016865925475,-0.063129957197428865,0.01155910784024829,-0.0086645265759497381,-0.0073935914080739407,-0.005987950851192414,0,0,0.0057798041560712665,-0.0079919126353953148,0.0029348016865925475,0.0037736475316183515,-0.033713435795736379
